id,title,number,repoId,repoName,labels,state,comments,createdAt,updatedAt,closedAt,body,user,userId
1791145832,[FEATURE] add javadoc to fields and props of a java record,3453,2049,rzwitserloot/lombok,['wontfix'],closed,5,2023-07-06T09:13:53Z,2023-09-03T18:21:18Z,2023-09-03T11:02:24Z,"**Describe the feature**

Imagine something like this:

```
/**
 * @param firstname   the firstname
 * @param surname     the surname
 * @param tasks       all tasks of the user
*/
public record User(String firstname, String surname, List<Taks> tasks){}
```
It would be nice if lombok could add the javadoc based on the constructor's javadoc. For example, when accessing `user.firstname()`, the javadoc defined in the constructor should be used. Is this possible?

Actually, lombok uses the javadoc defined in fields when we use getter/setter-methods generated by `@Getter/@Setter`. Something like this would be good for Java `record` as well.
",nimo23,3045549
487841046,"[BUG] Error:(17, 1) java: constructor Comment() is already defined in class Comment",2225,2049,rzwitserloot/lombok,['wontfix'],closed,4,2019-09-01T05:04:20Z,2019-09-10T21:56:01Z,2019-09-10T21:56:01Z,"**Describe the bug**
Error:(17, 1) java: constructor Comment() is already defined in class com.dannybook.article.model.Comment

**To Reproduce**
```
@AllArgsConstructor
@NoArgsConstructor
public class Comment {

}
```

**Expected behavior**

**Version info (please complete the following information):**
 - Lombok version 1.18.8
 - javac 1.8.0_192

",dannyZhou,6329191
241433203,Can support kotlin?,1436,2049,rzwitserloot/lombok,['wontfix'],closed,5,2017-07-08T07:31:03Z,2023-07-04T07:23:54Z,2022-01-23T09:14:14Z,"![image](https://user-images.githubusercontent.com/12063612/27983564-4cac9e88-63f2-11e7-9a58-69e0827acfe0.png)
@Slf4j  ....@Data ",z589533,12063612
165960134,[Feature Request] ToString inclusion of super fields?,1158,2049,rzwitserloot/lombok,['wontfix'],closed,1,2016-07-17T04:41:08Z,2016-07-22T09:15:49Z,2016-07-22T09:15:49Z,"http://stackoverflow.com/questions/38417662/can-lombok-tostring-include-a-field-from-a-supertype-without-using-callsuper
",oleersoy,1163873
159084654,java.util.Optional with @Setter,1125,2049,rzwitserloot/lombok,['wontfix'],closed,5,2016-06-08T05:51:25Z,2016-06-26T05:09:16Z,2016-06-08T20:17:45Z,"```
public class Foo {
    @Getter @Setter
    private Optional<String> bar;
}
```

it may be better to generate for @Setter code like this:

```
public class Foo {
    ...
    public void setBar(String value) {
        this.bar = Optional.ofNullable(value);
    }
}
```
",foror,95097
152580552,Inconsistent creation of java.beans.ConstructorProperties annotation,1099,2049,rzwitserloot/lombok,['wontfix'],closed,1,2016-05-02T15:42:56Z,2016-05-11T21:42:44Z,2016-05-11T21:41:32Z,"I got irritated by the fact, that the addition of the `@ConstructorProperties` annotation is not consistent.

```
// Class gets @ConstructorProperties annotation
@Value public class TestClass {
    private final double foo;
}

// Class has *no* @ConstructorProperties annotation
@Builder @Value public class TestClass {
    private final double foo;
}

// Class gets @ConstructorProperties annotation
@AllArgsConstructor @Builder @Value public class TestClass {
    private final double foo;
}
```

In my opinion this is irritating behaviour. Why is the `@ConstructorProperties` annotation removed when there is a `@Builder` annotation but no `@AllArgsConstructor` annotation? If the reason is, that with a `@Builder` the constructors are not meant to be used by the user, than they better should be declared private. At least I propose that the documentation should be clarified. All I have found there is that lombok would by default add this annotation to all constructors with at least one argument.
",mawis,2042030
151333004,@setter bug,1097,2049,rzwitserloot/lombok,['wontfix'],closed,1,2016-04-27T08:57:03Z,2016-05-11T22:13:49Z,2016-05-11T22:13:49Z,"I define three variables in java , like:

```
    @Setter
    private int cityId;
    @Setter
    private int cityID;
    @Setter
    private int cityid;
```

the compile result in xxx.class shows only one set method ,does not have the other two methods , like:

```
public void setCityId(int cityId) {
        this.cityId = cityId;
    }
```

no setCityid , no setCityID
",lvbolvtian,2943710
118093735,Consider adding Java 7 option for Delombok,975,2049,rzwitserloot/lombok,['wontfix'],closed,2,2015-11-20T18:02:58Z,2015-11-22T22:14:12Z,2015-11-22T22:14:12Z,"I don't think that Delombok considers the Java version when generating code.  Ideally, it should be able to take advantage of new language features when possible.

An example would be leveraging the [Objects.hash](http://docs.oracle.com/javase/7/docs/api/java/util/Objects.html#hash%28java.lang.Object...%29) function -- but that may only be done when Java 7 or later is the target JDK.  The [Objects.equals](http://docs.oracle.com/javase/7/docs/api/java/util/Objects.html#equals%28java.lang.Object,%20java.lang.Object%29) function may also be used, generating cleaner looking code.
",awhitford,123887
117535359,@NonEmpty,969,2049,rzwitserloot/lombok,['wontfix'],closed,1,2015-11-18T08:05:39Z,2015-11-22T22:49:39Z,2015-11-22T22:49:33Z,"Wouldn't it be nice, to have Annotation that enforces an type (Iterateable & String) not to be empty, in the way like @NonNull does?
",punkratz312,8830888
117314281,@Singular fields in @Builder are always non-null after build(),968,2049,rzwitserloot/lombok,['wontfix'],closed,3,2015-11-17T09:21:41Z,2019-03-26T17:03:46Z,2015-11-22T22:51:25Z,"`.build()` on a builder with a `@Singular` collection field always constructs a (non-null) collection even if the field isn't ever set(added to).

So, a field like `private final List<String> things;` with a `@Builder Cons(@Singular List<String> things) { this.things = things; }` constructor, means that `Cons.builder().build()` will produce a `Cons` object with an empty non-null list.

I would like `things` to remain `null` (its initial value) if I don't ever ""set"" it in the builder. This can be achieved if the adders (`thing(String)` and `things(List<String>)`) did the initialisation lazily; creating the list on add only if the field was `null`. Then `build()` could only set the (final) field in `Cons` if it were non-null.

Currently, I find no way to cause this behaviour for collection (`@Singular`) fields in builders; hence this issue. Perhaps there could be an annotation parameter, or a configuration key that enabled/disabled this for all `@Singular` builder fields.
",Zteve,703433
