"id","name","isFork","commits","branches","releases","forks","mainLanguage","defaultBranch","license","homepage","watchers","stargazers","contributors","size","createdAt","pushedAt","updatedAt","totalIssues","openIssues","totalPullRequests","openPullRequests","blankLines","codeLines","commentLines","metrics","lastCommit","lastCommitSHA","hasWiki","isArchived","isDisabled","isLocked","languages","labels","topics"
"3795567","afnetworking/afnetworking",false,"2944","6","40","10327","Objective-C","master","MIT License","http://afnetworking.com","1597","33346","284","6129","2011-05-31T09:28:44","2023-01-17T07:30:05","2023-03-12T01:44:06","0","0","1517","18","4030","18318","3260","[{""blankLines"":11,""codeLines"":45,""commentLines"":0,""language"":""Ruby""},{""blankLines"":52,""codeLines"":140,""commentLines"":96,""language"":""Swift""},{""blankLines"":2279,""codeLines"":8520,""commentLines"":1178,""language"":""Objective-C""},{""blankLines"":813,""codeLines"":707,""commentLines"":1973,""language"":""C/C++ Header""},{""blankLines"":10,""codeLines"":92,""commentLines"":9,""language"":""YAML""},{""blankLines"":865,""codeLines"":1928,""commentLines"":0,""language"":""Markdown""},{""blankLines"":0,""codeLines"":346,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":6540,""commentLines"":4,""language"":""XML""}]","2023-01-17T07:30:02","d9f589cc2c1fe9d55eb5eea00558010afea7a41e",true,true,false,false,"{""Objective-C"":688555,""Swift"":11831,""Ruby"":2242,""C"":2156,""Shell"":323}","added;async operation;behaves correctly;blocked;bug;carthage;changed;cocoapods;continuous integration;documentation;download request;duplicate;enhancement;feature request;fixed;help wanted;http headers;multipart form data;needs backmerge/rebase;needs documentation;needs feedback;needs investigation;needs more information;needs review;needs tests;parameter encoding;progress reporting;project config;question;reachability;removed;request serializers;response serializers;response validation;security;session delegate;stale;support;swift interoperability;tc agenda;tc meeting;tests;tvos;uikit extensions;updated;upload request;url connection;url session;watchos;wont fix;wwdc followup",""
"3990805","osquery/osquery",false,"6445","4","128","2409","C++","master","Other","https://osquery.io","684","21245","385","26547","2014-07-29T08:27:33","2024-03-20T05:29:08","2024-03-21T12:09:13","3273","569","4967","27","57022","235537","66747","[{""blankLines"":8,""codeLines"":62,""commentLines"":3,""language"":""Dockerfile""},{""blankLines"":0,""codeLines"":1330,""commentLines"":0,""language"":""JSON""},{""blankLines"":58,""codeLines"":585,""commentLines"":241,""language"":""Diff""},{""blankLines"":3,""codeLines"":11,""commentLines"":8,""language"":""make""},{""blankLines"":395,""codeLines"":1530,""commentLines"":161,""language"":""YAML""},{""blankLines"":779,""codeLines"":4467,""commentLines"":660,""language"":""Objective-C++""},{""blankLines"":1131,""codeLines"":4790,""commentLines"":872,""language"":""Python""},{""blankLines"":233,""codeLines"":1019,""commentLines"":44,""language"":""CSS""},{""blankLines"":2526,""codeLines"":10902,""commentLines"":2565,""language"":""C""},{""blankLines"":3180,""codeLines"":8699,""commentLines"":46,""language"":""Markdown""},{""blankLines"":19352,""codeLines"":65010,""commentLines"":40276,""language"":""C/C++ Header""},{""blankLines"":164,""codeLines"":631,""commentLines"":144,""language"":""Bourne Shell""},{""blankLines"":5,""codeLines"":3063,""commentLines"":7,""language"":""XML""},{""blankLines"":18,""codeLines"":140,""commentLines"":7,""language"":""Bourne Again Shell""},{""blankLines"":130,""codeLines"":613,""commentLines"":0,""language"":""Text""},{""blankLines"":73,""codeLines"":244,""commentLines"":150,""language"":""Assembly""},{""blankLines"":12,""codeLines"":64,""commentLines"":29,""language"":""Thrift""},{""blankLines"":25663,""codeLines"":113783,""commentLines"":19781,""language"":""C++""},{""blankLines"":3087,""codeLines"":17588,""commentLines"":1593,""language"":""CMake""},{""blankLines"":205,""codeLines"":1006,""commentLines"":160,""language"":""PowerShell""}]","2024-03-18T01:07:54","dcd8594f8d8687cb13bc9540b5aad2c26c5f8d9e",false,false,false,false,"{""C++"":8814136,""C"":2981761,""CMake"":740432,""Python"":221828,""Objective-C++"":185910,""PowerShell"":48035,""Shell"":29866,""Assembly"":10278,""Roff"":4267,""Thrift"":3263,""Dockerfile"":2426,""Makefile"":1106,""Objective-C"":866}","aarch64;api change;apple_silicon;aws;backlog;blueprint;bpf;bug;build;carving;cause identified;ci/cd;cla signed;clowntown;cmake;configuration;containers;core;cve;daemon;database;dead code;debt;dependencies;deployment;deprecation;development;distributed;do not merge;docker;documentation;duplicate;dynamic analysis;easy;events;extensions;feature;fim;flaky test;foundation;freebsd;good-first-issue;hacktoberfest;hard;hardening;help needed;high pri;in progress;kafka;libraries;linux;localization;logging;macos;macos big sur;macos catalina;macos high sierra;macos mojave;macos monterey;medium;memory leak;merge with rebase;merged;missing_aarch64;needs cla;needs response;networking;officehours;oss sprint;oss-fuzz;packaging;packs;performance;process auditing;prodsec;provision;query-scheduler;question;ready for review;refactor;reference;release;remote;rfc;sdk;security;severity-critical;severity-high;severity-medium;severity-unknown;shell;sierra;spam;sql;static analysis;test;test infra failure;triage;unbreak now;user experience;virtual tables;website;windows;windows on arm;wishlist;wont fix;zeek","hacktoberfest;intrusion-detection;monitoring;security;sql"
"4073610","vuejs/vitepress",false,"2100","7","146","1758","TypeScript","main","MIT License","https://vitepress.dev","76","10647","299","7673","2020-04-30T11:16:17","2024-03-22T01:32:32","2024-03-22T08:41:11","1873","184","1346","46","9205","38612","1443","[{""blankLines"":0,""codeLines"":357,""commentLines"":0,""language"":""SVG""},{""blankLines"":1,""codeLines"":5,""commentLines"":0,""language"":""TOML""},{""blankLines"":684,""codeLines"":4612,""commentLines"":0,""language"":""YAML""},{""blankLines"":1209,""codeLines"":8379,""commentLines"":1035,""language"":""TypeScript""},{""blankLines"":37,""codeLines"":191,""commentLines"":19,""language"":""JavaScript""},{""blankLines"":6016,""codeLines"":16991,""commentLines"":58,""language"":""Markdown""},{""blankLines"":0,""codeLines"":377,""commentLines"":0,""language"":""JSON""},{""blankLines"":0,""codeLines"":12,""commentLines"":0,""language"":""HTML""},{""blankLines"":329,""codeLines"":1692,""commentLines"":258,""language"":""CSS""},{""blankLines"":929,""codeLines"":5996,""commentLines"":73,""language"":""Vuejs Component""}]","2024-03-22T08:39:39","1e8b3679c845cc0d66bc80ea8a5b5b69d7b8520d",false,false,false,false,"{""TypeScript"":249000,""Vue"":156231,""CSS"":51450,""JavaScript"":7080}","a11y;bug;bug: pending triage;build;contribution welcome;dependencies;docs;duplicate;enhancement;experimental;has-workaround;help wanted;invalid;keep-open;need more info;perf;pwa;question;refactoring;stale;test;theme;translations;types;upstream;wont fix","docs-generator;hacktoberfest;markdown;ssg;vite;vue"
"4104623","appsmithorg/appsmith",false,"16834","1269","215","3319","TypeScript","release","Apache License 2.0","https://www.appsmith.com","286","31183","286","647171","2020-06-30T04:07:36","2024-03-22T07:06:23","2024-03-22T08:39:37","18481","3489","13392","82","90667","1222850","74970","[{""blankLines"":0,""codeLines"":3235,""commentLines"":0,""language"":""SVG""},{""blankLines"":0,""codeLines"":3,""commentLines"":0,""language"":""CSV""},{""blankLines"":349,""codeLines"":3243,""commentLines"":118,""language"":""Maven""},{""blankLines"":4,""codeLines"":21,""commentLines"":0,""language"":""TOML""},{""blankLines"":192,""codeLines"":854,""commentLines"":0,""language"":""Text""},{""blankLines"":1039,""codeLines"":8662,""commentLines"":800,""language"":""YAML""},{""blankLines"":25,""codeLines"":203,""commentLines"":35,""language"":""Properties""},{""blankLines"":1542,""codeLines"":5231,""commentLines"":3,""language"":""Markdown""},{""blankLines"":12,""codeLines"":65,""commentLines"":10,""language"":""HCL""},{""blankLines"":4,""codeLines"":21,""commentLines"":0,""language"":""INI""},{""blankLines"":681,""codeLines"":3125,""commentLines"":297,""language"":""Bourne Shell""},{""blankLines"":7303,""codeLines"":96806,""commentLines"":28842,""language"":""JavaScript""},{""blankLines"":351,""codeLines"":10909,""commentLines"":407,""language"":""SQL""},{""blankLines"":27,""codeLines"":78,""commentLines"":18,""language"":""Dockerfile""},{""blankLines"":0,""codeLines"":8,""commentLines"":16,""language"":""Diff""},{""blankLines"":29460,""codeLines"":169507,""commentLines"":14909,""language"":""Java""},{""blankLines"":19,""codeLines"":61,""commentLines"":0,""language"":""Handlebars""},{""blankLines"":23,""codeLines"":81,""commentLines"":5,""language"":""Python""},{""blankLines"":361,""codeLines"":3886,""commentLines"":504,""language"":""CSS""},{""blankLines"":48,""codeLines"":3574,""commentLines"":180,""language"":""HTML""},{""blankLines"":732,""codeLines"":308058,""commentLines"":0,""language"":""JSON""},{""blankLines"":6,""codeLines"":12,""commentLines"":3,""language"":""Bourne Again Shell""},{""blankLines"":0,""codeLines"":24,""commentLines"":0,""language"":""XML""},{""blankLines"":48489,""codeLines"":605183,""commentLines"":28823,""language"":""TypeScript""}]","2024-03-22T01:53:29","ba6262ffe69fc4d21c46236d2953a87493790e1f",false,false,false,false,"{""TypeScript"":21556299,""Java"":6866864,""JavaScript"":3627152,""HTML"":180494,""Shell"":135230,""CSS"":116120,""MDX"":71815,""Dockerfile"":4621,""Smarty"":3618,""Python"":3335,""Handlebars"":2211,""HCL"":2207,""Procfile"":84}","1-click upgrade;action selector;activation - datasources;activation - learnability;add/update test plan;admin settings;ads category token;ads component design;ads component documentation;ads component issue;ads components;ads deduplication;ads grayscale;ads revamp;ads spacing;ads typography;ads unit test;ads visual styles;ai;airgap;airtable;all widgets;anvil - copy paste experience;anvil - drag & drop;anvil - layout component;anvil - responsive canvas;anvil - responsive viewport;anvil - spacing;anvil - theming;anvil - vertical alignment;anvil - zones & sections;anvil layout;anvil pod;app navigation;app setting;app theming;app viewers pod;appsmith ai;appsmith business cloud;appsmith labs;arangodb;ast-backend;ast-frontend;audio recorder widget;audio widget;audit logs;auto height;autocomplete;automation failures;automation test;automerge;aws ami;aws ecs;backend;backup & restore;be coders pod;be instance;best practices;billing;billing & usage pod;billing integrations;binary form data;branding;bug;building blocks;business edition;button group widget;button widget;calendar widget;camera widget;cannot automate;cannot reproduce issue;canvas / grid;ce instance;chart widget;checkbox group widget;checkbox widget;ci;ci impacted;cloud;cloud services;code scanner widget;community contributor;community reported;connection pool;container widget;conversion algorithm;convert to module;copy paste;core query execution;critical;curl;currency input widget;custom environments;custom js libraries;custom widgets;customer portal;customer success;cypress flaky tests;cypress-flaky-fix;dailypromotionblocker;data platform pod;datasource environments;datasources;datatype issue;date picker widget;debugger;dependencies;deploy preview;deployment certificates;design debt;design system pod;development;devops pod;divider widget;do not merge;doc rehaul;docker;docker self-hosted;document viewer widget;documentation;documentdb;dp;drag & drop;duplicate;dynamodb;elastic search;email config;email verification;embedding apps;enhancement;enterprise billing;enterprise edition;entity explorer;entity refactor;epic;evaluated value;fe coders pod;feature flagging;file picker widget;file upload issues;firefox;firestore;fork app;form widget;framework functions;frontend;generate page;git auto-commit;git pod;git version control;good first issue;google sheets;graphql plugin;hacktoberfest;help wanted;heroku;high;high effort;home page;hubspot;i18n;icon button widget;ide;ide infra;ide navigation;ide pod;iframe;image widget;import-export-app;in app comms;in-app ramps;ingress;input widget;integrations pod;integrations pod general;invite users;js binding;js evaluation;js linting & errors;js module;js objects;js usability;json form;k8s;keyboard shortcuts;knowledge retrieval;license;list widget;list widget v2;localhost;login / signup;low;low effort;map chart widget;map widget;mariadb;medium;medium effort;menu button widget;mock data;modal component;modal widget;module consumer;module creator;mongo;mssql;multiple environments;multiselect widget;multitree select widget;mysql;needs automation;needs design;needs estimate;needs more info;needs prd;needs rca;needs tests;needs triaging;needs validation;new datasource;new deployment mode;new developers pod;new js function;new widget;nginx;oauth;observability;ok-to-test;omnibar;onboarding;one-click binding;onpageload;oracle sql db;package;package versioning;packages pod;page management;papercut;partial-import-export;performance;performance infra;performance pod;phone input widget;postgres;potential-duplicate;pr blocker;prepared statements;preview mode;production;progress bar widget;property pane;publish app;qa;qa pod;qaverificationblocked;query filter;query forms;query generation;query management;query module;query performance;query settings;radio group widget;radio widget;rate widget;rating widget;rbac;ready for design;redis;redshift;refactor;reflow & resize;regressed;release;release blocker;release promotion;relese-frozen;reopen;rest api plugin;rich text editor widget;s3;saas plugins;safari;schema;scim;secret management;security;select widget;sentry;skip-changelog;skip-docs;skip-documentation;skip-testplan;slider widget;smartsubstitution;smtp plugin;sniping mode;snowflake;spacing guidelines;spam;sso;stale;stat box widget;storybook;suggested widgets;supervisor;switch group widget;switch widget;tab widget;table inline edit;table widget;table widget v2;task;team managers pod;tech debt;templates;templates pod;test;test plan approved;testgap;text widget;tm_bu;treeselect;trigger fields;twilio;ui builders pod;ui improvement;ui module;ui performance;undo/redo;up for grabs;user education pod;user profile;user session;ux improvement;verified;video widget;view mode;voice recorder widget;wds  - phone widget;wds  - widget styling;wds - all widgets;wds - checkbox widget;wds - currency widget;wds - icon widget;wds - inline button widget;wds - input widget;wds - keyvalue widget;wds - modal widget;wds - paragraph widget;wds - responsive widget;wds - statbox widget;wds - switch group widget;wds - table widget;wds team;website;welcome screen;widget grouping;widget keyboard accessibility;widget property;widget setter method;widget validation;widgets pane;windows;wont fix;workflows;workflows pod;workspace settings;{{this.params.labels.join('","admin-dashboard;admin-panels;app-builder;automation;crud;custom-internal;developer-tools;gui;gui-application;hacktoberfest;internal-tools;java;javascript;low-code;low-code-framework;react;self-hosted;typescript;webdevelopment;workflows"
"6568782","caolan/async",false,"1923","3","7","2426","JavaScript","master","MIT License","http://caolan.github.io/async/","664","28047","235","7626","2010-06-01T09:01:30","2024-03-01T07:01:54","2024-03-01T04:59:32","1121","7","818","1","56838","93481","12031","[{""blankLines"":0,""codeLines"":14692,""commentLines"":1,""language"":""SVG""},{""blankLines"":32,""codeLines"":123,""commentLines"":6,""language"":""Bourne Shell""},{""blankLines"":220,""codeLines"":646,""commentLines"":7,""language"":""Markdown""},{""blankLines"":0,""codeLines"":9527,""commentLines"":0,""language"":""JSON""},{""blankLines"":53789,""codeLines"":49001,""commentLines"":507,""language"":""HTML""},{""blankLines"":324,""codeLines"":1510,""commentLines"":62,""language"":""CSS""},{""blankLines"":41,""codeLines"":119,""commentLines"":9,""language"":""make""},{""blankLines"":33,""codeLines"":196,""commentLines"":0,""language"":""Text""},{""blankLines"":15,""codeLines"":88,""commentLines"":0,""language"":""YAML""},{""blankLines"":3,""codeLines"":14,""commentLines"":0,""language"":""INI""},{""blankLines"":2381,""codeLines"":17565,""commentLines"":11439,""language"":""JavaScript""}]","2024-03-01T07:01:48","1e88745600f6b1bf8cd7d2e354705a41cf0182f1",true,false,false,false,"{""JavaScript"":607787,""CSS"":16257,""Shell"":4920,""Makefile"":4804}","breaking-change;bug;dependencies;docs;duplicate;enhancement;feature;feedback-wanted;help wanted;javascript;performance;question;queue;wont fix","async;callbacks;javascript"
"6773256","nhn/tui.calendar",false,"3064","44","95","1296","TypeScript","main","MIT License","http://ui.toast.com/tui-calendar","160","11329","22","78921","2017-09-11T12:21:04","2024-02-15T10:51:09","2024-02-15T12:39:37","794","174","552","14","8664","108005","3256","[{""blankLines"":226,""codeLines"":1194,""commentLines"":7,""language"":""CSS""},{""blankLines"":98,""codeLines"":1983,""commentLines"":0,""language"":""HTML""},{""blankLines"":6,""codeLines"":287,""commentLines"":0,""language"":""YAML""},{""blankLines"":3016,""codeLines"":8974,""commentLines"":0,""language"":""Markdown""},{""blankLines"":5070,""codeLines"":26458,""commentLines"":3150,""language"":""TypeScript""},{""blankLines"":233,""codeLines"":1647,""commentLines"":98,""language"":""JavaScript""},{""blankLines"":14,""codeLines"":243,""commentLines"":1,""language"":""Vuejs Component""},{""blankLines"":0,""codeLines"":67199,""commentLines"":0,""language"":""JSON""},{""blankLines"":1,""codeLines"":3,""commentLines"":0,""language"":""Bourne Shell""},{""blankLines"":0,""codeLines"":17,""commentLines"":0,""language"":""SVG""}]","2023-02-09T07:48:25","b53e765e8d896ab7c63d9b9b9515904119a72f46",true,false,false,false,"{""TypeScript"":991724,""HTML"":65449,""JavaScript"":53459,""Handlebars"":35814,""Stylus"":27022,""CSS"":23688,""Vue"":6827,""Shell"":58}","2.0;answered;bug;cannot reproduce;category: ...;category: creation guide;category: customize;category: daily;category: dependency;category: docs;category: dst;category: examples;category: install;category: monthly;category: options;category: performance;category: popup - creation;category: popup - detail view;category: popup - more view;category: react wrapper;category: resource view;category: schedule;category: template;category: time grid;category: timezone;category: typescript;category: usage;category: vue wrapper;category: weekly;d!;duplicate;enhancement;feature;good first issue 🙋‍♀️ 🙋‍♂️;help wanted 🙏;inactive;invalid;known issue;need discussion;nhn;p❕;p❕❕;p❕❕❕;question;to do;toast ui;wont fix","calendar;daily;frontend;fullcalendar;javascript;milestone;monthly;schedule;task;weekly"
"7491370","h5bp/html5-boilerplate",false,"2545","1","33","12161","JavaScript","main","MIT License","https://html5boilerplate.com/","2523","55825","250","22404","2010-01-24T06:03:24","2024-03-07T07:03:52","2024-03-08T05:07:11","1332","7","1679","2","545","12781","160","[{""blankLines"":0,""codeLines"":1,""commentLines"":0,""language"":""SVG""},{""blankLines"":18,""codeLines"":289,""commentLines"":0,""language"":""YAML""},{""blankLines"":0,""codeLines"":10674,""commentLines"":0,""language"":""JSON""},{""blankLines"":52,""codeLines"":252,""commentLines"":74,""language"":""JavaScript""},{""blankLines"":5,""codeLines"":22,""commentLines"":0,""language"":""INI""},{""blankLines"":405,""codeLines"":1323,""commentLines"":5,""language"":""Markdown""},{""blankLines"":19,""codeLines"":74,""commentLines"":2,""language"":""HTML""},{""blankLines"":4,""codeLines"":20,""commentLines"":0,""language"":""Text""},{""blankLines"":42,""codeLines"":126,""commentLines"":79,""language"":""CSS""}]","2024-03-04T06:38:24","583c8052d231f9b7de63653caed500ff293698fa",true,false,false,false,"{""JavaScript"":9754,""HTML"":1936}","awaiting feedback;backlog;bug;css;dependencies;discussion;documentation;enhancement;fix;github_actions;has-pr;help wanted;html;icons;invalid;javascript;new feature;release;wip;wont fix","best-practices;css;html;html5;html5-boilerplate;javascript;robust"
"7564731","nhn/tui.editor",false,"361","56","134","1724","TypeScript","master","MIT License","http://ui.toast.com/tui-editor","229","16610","28","82486","2015-07-27T06:57:23","2024-01-25T09:42:41","2024-01-26T10:26:37","1564","497","1617","57","10320","106761","1486","[{""blankLines"":4,""codeLines"":76,""commentLines"":0,""language"":""Vuejs Component""},{""blankLines"":1795,""codeLines"":5337,""commentLines"":0,""language"":""Markdown""},{""blankLines"":7795,""codeLines"":37552,""commentLines"":1193,""language"":""TypeScript""},{""blankLines"":231,""codeLines"":2337,""commentLines"":120,""language"":""JavaScript""},{""blankLines"":0,""codeLines"":57168,""commentLines"":0,""language"":""JSON""},{""blankLines"":21,""codeLines"":620,""commentLines"":12,""language"":""YAML""},{""blankLines"":402,""codeLines"":1964,""commentLines"":16,""language"":""CSS""},{""blankLines"":70,""codeLines"":1658,""commentLines"":145,""language"":""HTML""},{""blankLines"":2,""codeLines"":49,""commentLines"":0,""language"":""JSX""}]","2023-02-17T07:55:43","0c5c11bac0b9954e2cac2ff2a081ce8c80a5f14d",false,false,false,false,"{""TypeScript"":1208280,""CSS"":70241,""JavaScript"":69805,""HTML"":58207,""Vue"":1524}","2.x;bug;category: build;category: clipboard;category: code block;category: codemirror;category: convertor;category: document;category: etc;category: event;category: extension;category: line;category: list;category: markdown syntax;category: scroll;category: security;category: style;category: table;category: toolbar;category: typescript;dependencies;enhancement;feature;github_actions;good first issue 🙋‍♀️ 🙋‍♂️;help wanted 🙏;inactive;javascript;mode: markdown;mode: wysiwyg;need discussion;next 👋;nhn;p 1;p 2;p 3;plugin: chart;plugin: code syntax highlight;plugin: color syntax;plugin: table merged cell;plugin: uml;question;toast mark;toast ui;wont fix;wrapper: jquery;wrapper: react;wrapper: vue","chart;commonmark;documentation;editor;frontend;gfm;html;jquery;jquery-plugin;markdown;uml;wysiwyg"
"18450084","helm/helm",false,"7322","53","187","6895","Go","main","Apache License 2.0","https://helm.sh","514","25862","376","20979","2015-10-06T01:07:32","2024-03-21T03:53:13","2024-03-21T06:16:57","7581","328","5241","349","9853","55847","10405","[{""blankLines"":505,""codeLines"":1889,""commentLines"":4,""language"":""Markdown""},{""blankLines"":53,""codeLines"":2244,""commentLines"":0,""language"":""Text""},{""blankLines"":46,""codeLines"":164,""commentLines"":29,""language"":""make""},{""blankLines"":52,""codeLines"":452,""commentLines"":79,""language"":""Bourne Again Shell""},{""blankLines"":259,""codeLines"":4351,""commentLines"":605,""language"":""YAML""},{""blankLines"":75,""codeLines"":241,""commentLines"":102,""language"":""Bourne Shell""},{""blankLines"":0,""codeLines"":8,""commentLines"":0,""language"":""SVG""},{""blankLines"":0,""codeLines"":159,""commentLines"":0,""language"":""JSON""},{""blankLines"":8863,""codeLines"":46339,""commentLines"":9586,""language"":""Go""}]","2024-03-14T05:32:26","976ed8c0be5c34b77380ded25123cf4dab678da7",true,false,false,false,"{""Go"":1852663,""Shell"":30659,""Makefile"":8040}","approved;area/helm-test;awaiting review;blocked;breaking;bug;cncf-cla: no;cncf-cla: yes;dependencies;docs;feature;github_actions;go;good first issue;has one approval;help wanted;in progress;keep open;lgtm;needs v3 fix;needs-pick;needs-rebase;oci;picked;plugin;proposal;question/support;refactor;release note required;size/l;size/m;size/s;size/xl;size/xs;size/xxl;stale;unconfirmed;v2.x;v3 port complete;v3.x;v4.x;wip;wont fix;¯\_(ツ)_/¯","chart;charts;cncf;helm;kubernetes"
"18450769","wailsapp/wails",false,"3520","60","211","1032","Go","master","MIT License","https://wails.io","135","21633","218","114590","2018-12-15T11:14:06","2024-03-21T07:17:00","2024-03-21T07:10:57","1572","236","1319","24","32081","128030","5240","[{""blankLines"":21,""codeLines"":42,""commentLines"":0,""language"":""Bourne Shell""},{""blankLines"":31,""codeLines"":181,""commentLines"":0,""language"":""Svelte""},{""blankLines"":24,""codeLines"":178,""commentLines"":1,""language"":""SVG""},{""blankLines"":1245,""codeLines"":9055,""commentLines"":53,""language"":""YAML""},{""blankLines"":22671,""codeLines"":59052,""commentLines"":44,""language"":""Markdown""},{""blankLines"":114,""codeLines"":322,""commentLines"":62,""language"":""C/C++ Header""},{""blankLines"":407,""codeLines"":2742,""commentLines"":622,""language"":""JavaScript""},{""blankLines"":308,""codeLines"":1532,""commentLines"":106,""language"":""Objective-C""},{""blankLines"":13,""codeLines"":215,""commentLines"":0,""language"":""HTML""},{""blankLines"":24,""codeLines"":160,""commentLines"":0,""language"":""Vuejs Component""},{""blankLines"":51,""codeLines"":253,""commentLines"":0,""language"":""Text""},{""blankLines"":101,""codeLines"":857,""commentLines"":21,""language"":""CSS""},{""blankLines"":112,""codeLines"":609,""commentLines"":30,""language"":""C""},{""blankLines"":11,""codeLines"":65,""commentLines"":0,""language"":""JSX""},{""blankLines"":24,""codeLines"":55,""commentLines"":8,""language"":""TOML""},{""blankLines"":1,""codeLines"":13702,""commentLines"":0,""language"":""JSON""},{""blankLines"":1,""codeLines"":355,""commentLines"":0,""language"":""XML""},{""blankLines"":6775,""codeLines"":38216,""commentLines"":4056,""language"":""Go""},{""blankLines"":147,""codeLines"":439,""commentLines"":237,""language"":""TypeScript""}]","2024-03-20T07:45:33","3694dd2a557d2217a7c22d242650943ad82fe9be",false,false,false,false,"{""Go"":1251481,""C++"":510757,""HTML"":209758,""JavaScript"":108743,""Objective-C"":78061,""CSS"":27233,""C"":24872,""NSIS"":22913,""TypeScript"":13704,""Svelte"":11002,""Vue"":7236,""Shell"":1304,""Batchfile"":20}","add to documentation;awaiting feedback;awaiting review 🕝;blocked;bug;cannot reproduce;chore;cli;dependencies;documentation;enhancement;external issue;fixed on master;github_actions;go;good first issue;implemented in v3;investigating;javascript;linux;macos;not a wails issue;on hold;planned for v3;priority;ready for testing;reviewed ✅;sponsor ❤️;to be documented;todo;translation;typescript;unconfirmed;upstream issue;v3;waiting on apple;waiting on gtk2webkit;windows;wip;wont fix;workaround available;workflow","angular;desktop-application;go;golang;javascript;linux;macos;react;svelte;vuejs;windows"
